Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63656d2d847ed48ff9cbc803,5849751351f36f0001df75e5,APPROVED,2022-11-04T19:51:17.462000Z,2022-11-04T19:52:37.169000Z,2022-11-08T20:00:55.361000,2022-11-04T19:52:37.854590Z,80,C4DAS9DL,2390,41,Male,White,United States,United States,United States,English,No,Full-Time
63656d301b4ba5918a2d05d4,5d67d4393fcbbc0019f3e1a4,APPROVED,2022-11-04T19:51:17.570000Z,2022-11-04T19:54:54.505000Z,2022-11-08T20:00:40.897000,2022-11-04T19:54:54.923095Z,217,C4DAS9DL,1656,34,Female,Mixed,United States,United States,United States,English,No,Full-Time
63656d32c1067e9e88c98f07,59f21fe8cc514a00011a66cf,APPROVED,2022-11-04T19:51:18.749000Z,2022-11-04T19:53:42.272000Z,2022-11-08T20:00:41.041000,2022-11-04T19:53:42.623804Z,144,C4DAS9DL,1269,47,Female,White,United States,United States,United States,English,No,Other
63656d3afeb1513cf3202929,5dc1d16946c7ba134f6626bc,APPROVED,2022-11-04T19:51:24.383000Z,2022-11-04T19:53:13.614000Z,2022-11-08T20:00:55.458000,2022-11-04T19:53:14.025971Z,110,C4DAS9DL,976,33,Male,Mixed,United States,United States,United States,English,No,Full-Time
63656d3c7585c55de1ee2b83,5c0da14d656168000159da7a,APPROVED,2022-11-04T19:51:24.424000Z,2022-11-04T19:53:35.558000Z,2022-11-08T20:00:55.553000,2022-11-04T19:53:36.410272Z,132,C4DAS9DL,3092,52,Male,White,United States,United States,United States,English,No,Full-Time
63656d4aad53479aa4adb842,5beeed1b1e78580001dbe859,APPROVED,2022-11-04T19:51:56.160000Z,2022-11-04T19:52:42.910000Z,2022-11-08T20:00:41.180000,2022-11-04T19:52:43.306945Z,47,C4DAS9DL,76,25,Female,Black,Nigeria,United States,Nigeria,English,No,Full-Time
63656d4ad46d8720c1f985b4,61313fad6454dab291dc1256,APPROVED,2022-11-04T19:51:41.790000Z,2022-11-04T19:54:30.627000Z,2022-11-08T20:00:41.322000,2022-11-04T19:54:31.002663Z,169,C4DAS9DL,983,49,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63656d4ca84afa98b818f95a,5f847fad75daf80dd9dce110,APPROVED,2022-11-04T19:51:42.909000Z,2022-11-04T19:53:24.497000Z,2022-11-08T20:00:41.436000,2022-11-04T19:53:24.905104Z,102,C4DAS9DL,699,36,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED
63656d4e4548c297ab7d9826,5a6c076fd5d4cb0001d65a17,APPROVED,2022-11-04T19:51:46.508000Z,2022-11-04T19:53:51.978000Z,2022-11-08T20:00:41.562000,2022-11-04T19:53:52.390188Z,126,C4DAS9DL,2539,DATA_EXPIRED,Female,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63656d555efbf058ee4d3041,60fe19cafe22cd7db9de1783,APPROVED,2022-11-04T19:51:52.134000Z,2022-11-04T19:53:12.315000Z,2022-11-08T20:00:41.674000,2022-11-04T19:53:12.807803Z,81,C4DAS9DL,1799,36,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63656d63311c0735b2ad3d16,5b5b6c11f5bc590001177815,APPROVED,2022-11-04T19:52:07.408000Z,2022-11-04T19:53:14.725000Z,2022-11-08T20:00:41.788000,2022-11-04T19:53:15.253926Z,68,C4DAS9DL,1063,54,Female,White,United States,United States,United States,English,No,Full-Time
63656d66f5550d6c2b8b63f9,55c0ca6cfdf99b2e8efc9f4b,APPROVED,2022-11-04T19:52:22.866000Z,2022-11-04T19:53:26.861000Z,2022-11-08T20:00:41.902000,2022-11-04T19:53:27.220073Z,64,C4DAS9DL,2261,41,Female,White,United States,United States,United States,English,No,Full-Time
63656d6c2b4e8e99630df562,62a3be0d93b8dd1e69b4317d,APPROVED,2022-11-04T19:52:19.618000Z,2022-11-04T19:54:32.724000Z,2022-11-08T20:00:42.019000,2022-11-04T19:54:33.169881Z,134,C4DAS9DL,708,65,Female,White,United States,United States,United States,English,No,Part-Time
63656d6e227dab621759681c,5e5bf32829348a3cb01ffaa1,APPROVED,2022-11-04T19:52:54.333000Z,2022-11-04T19:54:07.735000Z,2022-11-08T20:00:42.131000,2022-11-04T19:54:09.060855Z,74,C4DAS9DL,1655,DATA_EXPIRED,Female,Mixed,United States,United States,United States,English,Yes,Full-Time
63656d76fdf415e61760aadc,5f326f3697c53601f394368a,APPROVED,2022-11-04T19:52:25.020000Z,2022-11-04T19:54:16.637000Z,2022-11-08T20:00:42.247000,2022-11-04T19:54:17.076338Z,112,C4DAS9DL,1475,29,Female,Black,United States,United States,United States,English,No,Full-Time
63656d77d3be7f06ca5ee762,58e9538908dc910001901f6b,APPROVED,2022-11-04T19:52:29.414000Z,2022-11-04T19:56:40.424000Z,2022-11-08T20:00:42.360000,2022-11-04T19:56:40.915017Z,252,C4DAS9DL,3830,59,Female,White,United States,United States,United States,English,No,Other
